               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
130,0.024126,0.0070867,0.0017966,0.0330093,0.55132,0.527,0.60787,0.27775,0.034912,0.0083666,0.0057582,0.004195,0.004195,0.004195
131,0.024079,0.0069545,0.0016249,0.0326584,0.54975,0.6615,0.67682,0.34102,0.031906,0.0080929,0.0039867,0.00415,0.00415,0.00415
132,0.02456,0.0068632,0.0017285,0.0331517,0.65012,0.61056,0.64673,0.30215,0.032815,0.0081976,0.0036773,0.004105,0.004105,0.004105
133,0.024626,0.0068475,0.001719,0.0331925,0.59688,0.57871,0.67002,0.34796,0.031392,0.0078459,0.0036418,0.00406,0.00406,0.00406
134,0.024037,0.0067841,0.001614,0.0324351,0.72922,0.67138,0.65704,0.32891,0.033211,0.0082455,0.0031552,0.004015,0.004015,0.004015
135,0.024266,0.0069549,0.001606,0.0328269,0.55818,0.58814,0.6079,0.25707,0.033749,0.0087697,0.0068828,0.00397,0.00397,0.00397
136,0.024435,0.0067039,0.0015015,0.0326404,0.53698,0.60502,0.61078,0.28409,0.032356,0.0086091,0.0037452,0.003925,0.003925,0.003925
137,0.024303,0.0067658,0.0018988,0.0329676,0.67822,0.58928,0.63014,0.29002,0.032532,0.0084663,0.0030245,0.00388,0.00388,0.00388
138,0.024446,0.0065136,0.0018727,0.0328323,0.71443,0.66144,0.6507,0.29899,0.03192,0.0078116,0.0025658,0.003835,0.003835,0.003835
139,0.02338,0.0068658,0.0016141,0.0318599,0.60885,0.6257,0.65479,0.3094,0.034485,0.0079397,0.0024815,0.00379,0.00379,0.00379
140,0.023033,0.0067619,0.0013661,0.031161,0.71021,0.64239,0.64812,0.29943,0.033764,0.0085919,0.0049218,0.003745,0.003745,0.003745
141,0.023283,0.0067568,0.0013714,0.0314112,0.70448,0.68545,0.68065,0.3028,0.03383,0.0077833,0.0018763,0.0037,0.0037,0.0037
142,0.023965,0.0066951,0.0012975,0.0319576,0.67661,0.61615,0.66288,0.33089,0.033454,0.0081202,0.0018986,0.003655,0.003655,0.003655
143,0.02347,0.0066603,0.0014512,0.0315815,0.61255,0.6264,0.61539,0.28607,0.033375,0.0080473,0.0067881,0.00361,0.00361,0.00361
144,0.023658,0.0066803,0.0014893,0.0318276,0.46885,0.46221,0.51721,0.22882,0.032552,0.008016,0.0038365,0.003565,0.003565,0.003565
145,0.023339,0.0068409,0.001698,0.0318779,0.69178,0.65468,0.68114,0.28602,0.034031,0.0080913,0.0074347,0.00352,0.00352,0.00352
